"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO_category"
"ctrl_cluster2_nodes","GO:0097485","neuron projection guidance","32/1063","187/13115",4.06e-05,0.022865738,0.021640415,"SEMA3F/PLXND1/CNTN1/EPHA3/NOTCH3/SEMA3A/EPHA6/EFNB1/NRCAM/HDAC6/VASP/CNTN6/EPHA7/NIBAN2/ERBB2/GDF7/SLIT2/EPHA5/NOTCH1/PTPRO/ROBO4/ROBO3/PLXNB1/TTC8/ARHGEF40/KIF5B/LAMB2/PTPRM/NRXN1/ROBO2/PLXNB3/CRPPA",32,"Neurogenesis"
"ctrl_cluster2_nodes","GO:0003176","aortic valve development","11/1063","34/13115",4.71e-05,0.023054734,0.021819282,"TNFRSF1B/TIE1/TNFRSF1A/TGFB1/ROCK2/HEY2/SLIT2/NOTCH1/HEYL/NOS3/ROBO2",11,"To be removed"
"ctrl_cluster2_nodes","GO:0043534","blood vessel endothelial cell migration","21/1063","102/13115",5.66e-05,0.023054734,0.021819282,"HDAC9/MYH9/CD40/TGFB1/HDAC5/AKT3/PLCG1/STAT5A/KDR/P2RX4/ACVRL1/AKT1/EPHA2/SLIT2/NOTCH1/NOS3/JUP/CLEC14A/CDH5/EPHB4/EMP2",21,"To be removed"
"ctrl_cluster2_nodes","GO:0048593","camera-type eye morphogenesis","21/1063","102/13115",5.66e-05,0.023054734,0.021819282,"BAK1/HIPK2/BAX/RPGRIP1L/NAGLU/TBC1D20/KDR/GDF11/AHI1/EPHA2/CRB2/NOTCH1/ROM1/THRB/HCN1/FAT3/TTC8/MFSD2A/STAT3/PTPRM/TENM3",21,"To be removed"
"ctrl_cluster2_nodes","GO:0003177","pulmonary valve development","8/1063","19/13115",6.1e-05,0.023054734,0.021819282,"TNFRSF1B/TNFRSF1A/HEY2/SLIT2/NOTCH1/HEYL/NOS3/ROBO2",8,"To be removed"
"ctrl_cluster2_nodes","GO:0001974","blood vessel remodeling","11/1063","35/13115",6.37e-05,0.023054734,0.021819282,"BAK1/FOXC1/ATG5/BAX/TGFB1/EPAS1/TMBIM1/ACVRL1/CBS/NOS3/FLNA",11,"To be removed"
"ctrl_cluster2_nodes","GO:1905314","semi-lunar valve development","11/1063","36/13115",8.51e-05,0.028123866,0.026616771,"TNFRSF1B/TIE1/TNFRSF1A/TGFB1/ROCK2/HEY2/SLIT2/NOTCH1/HEYL/NOS3/ROBO2",11,"To be removed"
"ctrl_cluster2_nodes","GO:0060219","camera-type eye photoreceptor cell differentiation","9/1063","25/13115",9.05e-05,0.028123866,0.026616771,"RPGRIP1L/NAGLU/CRB2/NOTCH1/ROM1/THRB/HCN1/TTC8/STAT3",9,"To be removed"
"ctrl_cluster2_nodes","GO:0060561","apoptotic process involved in morphogenesis","8/1063","20/13115",9.44e-05,0.028123866,0.026616771,"TNFRSF1B/BAK1/FOXC1/TNFRSF1A/BAX/CRYAB/NOTCH1/SCRIB",8,"To be removed"
"ctrl_cluster2_nodes","GO:0046530","photoreceptor cell differentiation","13/1063","49/13115",0.000100785,0.028354099,0.026834666,"RPGRIP1L/NAGLU/OLFM3/AHI1/NKD1/CRB2/NOTCH1/ROM1/THRB/HCN1/TTC8/MFSD2A/STAT3",13,"To be removed"
"ctrl_cluster2_nodes","GO:0001754","eye photoreceptor cell differentiation","11/1063","37/13115",0.000112342,0.029941992,0.028337468,"RPGRIP1L/NAGLU/OLFM3/NKD1/CRB2/NOTCH1/ROM1/THRB/HCN1/TTC8/STAT3",11,"To be removed"
"ctrl_cluster2_nodes","GO:0045765","regulation of angiogenesis","34/1063","217/13115",0.000145592,0.036863896,0.034888442,"PLXND1/PIK3CB/FOXC1/HIPK2/TIE1/CD40/CTSH/SASH1/FGF1/AKT3/PLCG1/KDR/NINJ1/ROCK2/NIBAN2/ACVRL1/PML/ERBB2/EPHA2/HSPG2/ADAMTS1/S100A1/ITGA5/NOS3/MAPK7/STAT3/PTPRM/VEGFB/JUP/CD34/CHRNA7/CDH5/FOXO4/EMP2",34,"To be removed"
"ctrl_cluster2_nodes","GO:0003407","neural retina development","14/1063","59/13115",0.000202365,0.047922315,0.045354266,"HIPK2/RPGRIP1L/NAGLU/GDF11/AHI1/CRB2/NOTCH1/ROM1/THRB/HCN1/FAT3/TTC8/STAT3/PTPRM",14,"To be removed"
"ctrl_cluster2_nodes","GO:1901342","regulation of vasculature development","34/1063","221/13115",0.000208193,0.047922315,0.045354266,"PLXND1/PIK3CB/FOXC1/HIPK2/TIE1/CD40/CTSH/SASH1/FGF1/AKT3/PLCG1/KDR/NINJ1/ROCK2/NIBAN2/ACVRL1/PML/ERBB2/EPHA2/HSPG2/ADAMTS1/S100A1/ITGA5/NOS3/MAPK7/STAT3/PTPRM/VEGFB/JUP/CD34/CHRNA7/CDH5/FOXO4/EMP2",34,"To be removed"
"ctrl_cluster5_nodes","GO:0072594","establishment of protein localization to organelle","20/188","418/13115",2.37e-06,0.00585328,0.005692955,"VPS41/PIK3C3/KPNA3/LONP2/NUP155/ECT2/RAB3GAP1/RAB3GAP2/VPS36/NUP58/NPEPPS/RANBP2/VPS37A/APPL1/UBE2J2/SGF29/LRRK2/PIK3R4/KPNA5/PAM16",20,"To be removed"
"ctrl_cluster5_nodes","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","10/188","119/13115",7.94e-06,0.00981629,0.009547417,"CUL3/GOPC/ERGIC2/GOLT1B/TFG/SEC31A/TRAPPC8/TRAPPC11/LRRK2/PGAP1",10,"To be removed"
"ctrl_cluster6_nodes","GO:0002181","cytoplasmic translation","Dec-54","154/13115",1e-12,9.41e-10,8.95e-10,"RPL18/RPS15/MIF4GD/RPS11/RPL37/FAU/RPL8/RPL29/RPL27A/RPSA/RPS21/RPLP2",12,"gene expression"
"ctrl_cluster7_nodes","GO:0008637","apoptotic mitochondrial changes","Jul-87","93/13115",2.64e-06,0.004117921,0.003942365,"NDUFS1/VPS35/VDAC2/GHITM/MOAP1/BNIP3/BLOC1S2",7,"Apoptosis"
"ctrl_cluster7_nodes","GO:0097345","mitochondrial outer membrane permeabilization","Apr-87","32/13115",5.64e-05,0.026212468,0.025094971,"VDAC2/MOAP1/BNIP3/BLOC1S2",4,"To be removed"
"ctrl_cluster7_nodes","GO:0016241","regulation of macroautophagy","Jul-87","153/13115",6.86e-05,0.026212468,0.025094971,"VPS35/ATP6V1D/ATP6V1E1/MOAP1/PAFAH1B2/BNIP3/VDAC1",7,"intracellular trafficking"
"ctrl_cluster7_nodes","GO:1902110","positive regulation of mitochondrial membrane permeability involved in apoptotic process","Apr-87","35/13115",8.08e-05,0.026212468,0.025094971,"VDAC2/MOAP1/BNIP3/BLOC1S2",4,"To be removed"
"ctrl_cluster7_nodes","GO:0010822","positive regulation of mitochondrion organization","May-87","69/13115",9.21e-05,0.026212468,0.025094971,"VPS35/DDHD2/MOAP1/BNIP3/VDAC1",5,"To be removed"
"ctrl_cluster7_nodes","GO:1902686","mitochondrial outer membrane permeabilization involved in programmed cell death","Apr-87","37/13115",0.000100947,0.026212468,0.025094971,"VDAC2/MOAP1/BNIP3/BLOC1S2",4,"To be removed"
"ctrl_cluster7_nodes","GO:1902108","regulation of mitochondrial membrane permeability involved in apoptotic process","Apr-87","39/13115",0.000124453,0.026794605,0.025652291,"VDAC2/MOAP1/BNIP3/BLOC1S2",4,"To be removed"
"ctrl_cluster7_nodes","GO:0035794","positive regulation of mitochondrial membrane permeability","Apr-87","40/13115",0.000137585,0.026794605,0.025652291,"VDAC2/MOAP1/BNIP3/BLOC1S2",4,"To be removed"
"ctrl_cluster7_nodes","GO:0009060","aerobic respiration","Jul-87","179/13115",0.000182894,0.028510947,0.027295461,"NDUFS1/ISCU/ATP5F1A/NDUFB6/GHITM/PDHB/BNIP3",7,"Mitochondrial energy production"
"ctrl_cluster7_nodes","GO:1905710","positive regulation of membrane permeability","Apr-87","43/13115",0.000182997,0.028510947,0.027295461,"VDAC2/MOAP1/BNIP3/BLOC1S2",4,"To be removed"
"ctrl_cluster7_nodes","GO:0010821","regulation of mitochondrion organization","Jun-87","138/13115",0.000305617,0.041223088,0.039465655,"VPS35/DDHD2/GHITM/MOAP1/BNIP3/VDAC1",6,"To be removed"
"ctrl_cluster7_nodes","GO:0046902","regulation of mitochondrial membrane permeability","Apr-87","50/13115",0.00032965,0.041223088,0.039465655,"VDAC2/MOAP1/BNIP3/BLOC1S2",4,"To be removed"
"ctrl_cluster7_nodes","GO:0090141","positive regulation of mitochondrial fission","Mar-87","21/13115",0.000343967,0.041223088,0.039465655,"VPS35/DDHD2/BNIP3",3,"To be removed"
